wwc2=# select distinct interventionid, intervention_name from intervention_reports order by interventionid;
 interventionid |                                        intervention_name                                         
           1063 | Blended Learning for Alliance School Transformation (BLAST)
           1064 | Big Brothers Big Sisters (BBBS) School-Based Mentoring
           1065 | Assignment to a teacher who is certified by the National Board for Professional Teaching Standards
           1066 | Aspiring Principals  Program
           1067 | Analogic Instruction
           1068 | Alternate Route to Teacher Certification
           1069 | Algebra Nation
           1070 | Alabama Math, Science, and Technology Initiative (AMSTI)
           1071 | Advanced Placement Training and Incentive Program (APTIP)
           1072 | Accelerated Study in Associate Programs (ASAP)
           1073 | Accelerated Pathways
           1074 | Accelerated English Instruction
           1075 | Abstract Examples in Learning Math
           1076 | A ‘Content-First’ Approach to Science Teaching
           1077 | Xtreme Reading
           1078 | We Have Skills!
           1079 | Values Affirmation (VA) Model
           1080 | Value-added model (VAM)
           1081 | Utility Values and Values Affirmation
           1082 | Utility Value Intervention
           1083 | University of Chicago School Mathematics Project 6&#8211;12 Curriculum
           1084 | Undergraduate Research Opportunity Program
           1085 | U.S. Department of Education’s Student Mentoring Program (SMP)
           1086 | Transitional Bilingual Education
           1087 | Tools for Getting Along (TFGA)
           1088 | Too Good for Drugs and Violence (TGFD &amp; V)
           1089 | Thinking Reader
           1090 | Theory-Based Abstinence-Only
           1091 | The SSEC's LASER model
           1092 | TNTP Teaching Fellows
           1093 | The Head Start REDI Program
           1094 | The Creative Curriculum for Preschool, Fourth Edition
           1095 | Technology-enhanced, Research-based, Instruction, Assessment, and professional Development (TRIAD)
           1096 | Teaching Students That Personality Traits Are Malleable
           1097 | Teaching Cases, Looking at Student Work, and Metacognitive Analysis Professional Development Interventions
           1098 | Teacher Writing Professional Development Program
           1099 | Teacher Value-Added
           1100 | Teacher Incentive Strategies
           1101 | Teacher Advancement Program (TAP)
           1102 | Interleaved practice
           1103 | Targeted Reading Intervention (TRI)
           1104 | Talent Transfer Initiative (TTI)
           1105 | TAKE CHARGE
           1106 | Supplemental Literacy Classes
           1107 | Summer Reading Books
           1108 | Summer Literacy Intervention
           1109 | Student Team Reading and Writing (STRW)
           1110 | Student Team Reading (STR)
           1111 | Student Financial Incentives
           1112 | Starting Middle School in Sixth Grade
           1114 | Spatial Temporal Mathematics (ST Math)
           1116 | Solve It!
           1117 | Social-belonging Intervention
           1118 | Small Schools of Choice (SSCs)
           1119 | Small School of Choice
           1120 | SimCalc
           1121 | Seattle Social Development Project (SSDP)
           1122 | Schoolwide Positive Behavioral Interventions and Supports
           1123 | School Management by For-Profit or Nonprofit Organizations
           1124 | School Choice Scholarships Foundation Program (SCSF)
           1125 | San Francisco Bay Area Knowledge is Power Program (KIPP) Schools
           1126 | Same-Language-Subtitling (SLS)
           1127 | Reward Structures in Group Learning
           1128 | Retrieval-Practice Studying Technique
           1129 | Response to Intervention- Tiered instruction in vocabulary training
           1130 | Reading Comprehension Training Embedded in Content-Area Instruction
           1131 | Reading Apprenticeship Academic Literacy (RAAL)
           1133 | Providing Information About College Costs and Returns
           1134 | Providing Information About College Application Process and College Costs
           1135 | Promoting Acceleration of Comprehension and Content Through Text (PACT)
           1136 | Promise Academy Middle School
           1137 | Project STAR (Sit Together and Read)
           1140 | Professional Development Program Based on Language Essentials for Teachers of Reading and Spelling (LETRS)
           1141 | Professional Development in Reading Apprenticeship
           1142 | Professional Development and Coaching
           1143 | Process Assessment of the Learner (PAL)
           1144 | Problem Based Economics Instruction
           1145 | POWERSOURCE
           1146 | Playworks
           1147 | Playing Number Board Games
           1148 | PLATO Focus
           1149 | PLATO Achieve Now
           1150 | Phonological Training including Auditory Discrimination in Depth (A.D.D.)
           1151 | Personalized Learning
           1152 | Performance-Based Scholarship Program in New York City
           1153 | Peer Group Connection (PGC) Program
           1154 | Pathway Project
           1155 | Parents and Children Making Connections – Highlighting Attention (PCC-A)
           1156 | ParentCorps
           1157 | Opportunity NYC-Family Rewards Program
           1158 | Opening Doors
           1159 | Online Alegbra I Program
           1160 | Nontraditional Addition Problem Formats
           1161 | Non-Profit Charter School Management Organizations (CMOs)
           1162 | New York City's Schoolwide Performance Bonus Program
           1163 | National Writing Project Tiered Model
           1164 | National Math + Science Initiative (NMSI) College Readiness Program
           1165 | National Institute of School Leadership (NISL) Executive Development Program (EDP)
           1166 | National Board for Professional Teaching Standards (NBPTS) Certification
           1167 | My Teaching Partner-Secondary (MTP-S)
           1168 | Motivational Interviewing (MI)
           1170 | Milwaukee Parental Choice Program (MPCP)
           1171 | Middle School Physical Activity and Nutrition (M-SPAN)
           1172 | Middle School Mathematics Professional Development
           1173 | Media-Rich Literacy Curriculum
           1174 | Math-in-Career and Technical Education (CTE) Model
           1175 | Math Expressions
           1176 | Mastery Learning and Student Team Learning
           1177 | Malleable Intelligence Pen Pals
           1178 | Making Sense of SCIENCE
           1179 | Longitudinal Instructional English Intervention for ELLs
           1180 | Literacy-embedded science
           1181 | Literacy Design Collaborative (LDC)
           1182 | Linguistic Modification
           1184 | Learning Experiences and Alternative Program for Preschoolers and Their Parents (LEAP)
           1185 | LeapTrack
           1186 | Larson Pre-Algebra
           1187 | Larson Algebra 1
           1188 | Knowledge is Power Program (KIPP)
           1189 | Kindergarten PAVEd for Success
           1190 | Intrusive Intervention
           1191 | Interleaved mathematics practice
           1192 | Interactive Learning Online (ILO)
           1193 | Intelligent Tutoring for Structure Strategy (ITSS)
           1194 | Integrated Basic Education and Skills Training (I-BEST)
           1195 | InsideTrack© Coaching
           1196 | Incremental Theory Intervention
           1197 | IEP Quality Tutorial
           1199 | High-Impact Practices (HIPs): Undergraduate Research Courses as HIPs
           1200 | Higher Achievement
           1201 | Help with English Language Proficiency (HELP)
           1202 | Having Tenure Track Faculty Teach First-Term Freshman-Level Courses
           1205 | Goal Setting
           1206 | Free Application for Federal Student Aid (FAFSA) Application Assistance
           1207 | Fractions video games
           1208 | Fraction Challenge
           1209 | Fraction Face-Off!
           1210 | Diagnostic Assessment Tools (DAT)
           1211 | Accelerated Learning Program
           1213 | Service Learning and Community Service
           1214 | Multiple Measures
           1215 | Guided Pathways
           1216 | Student Support Services (SSS)
           1217 | Collaborative Project Based Learning (CPBL)
           1218 | Gateway Science Workshop (GSW) Program
           1219 | PKAL Stem Effectiveness Framework
           1220 | Broaden and Build
           1221 | Varies (student experiences)
           1222 | Science, Technology, Engineering and Mathematics (STEM) Fields
           1223 | Concentration in a program of study in community college
           1224 | Intercultural Competency Development
           1225 | 
           1226 | DOLA framework and ICAP hypothesis
           1227 | Exposure to diversity experiences
           1228 | Supplemental instruction (at San Francisco State University)
           1229 | Three different laboratory curriculums
           1230 | Loma Linda University (LLU) Summer Health Disparities Research Program
           1231 | Articulation Agreements
           1232 | Residence Study Group Program (RSGP)
           1233 | What Works Clearinghouse
           1235 | Co-enrollment (vertical and lateral)
           1236 | Integration of research skill development into regular semester-length courses
           1237 | Howard Hughes Medical Institute Professors Program at Louisiana State University
           1238 | MemphiSTEP
           1239 | Prentice Hall Literature© (1989-2005)
           1240 | Strategies for Postsecondary Students in Developmental Education
           1241 | Functional Behavioral Assessment-based Interventions
           1242 | Pivotal Response Training
           1243 | NURTURES
           1244 | Restorative Approaches to School Discipline
           1245 | Arizona Math and Science Partnership- Mathematics Classroom Observations
           1246 | Arizona Math and Science Partnership- Science Classroom Observations
           1248 | Unconditional Education
           1249 | Achievement First and Uncommon Schools Charter Management Organizations
           1250 | Math Connections
           1251 | School disciplinary actions
           1252 | Alternative Schools Demonstration Program (ASDP) 
           1253 | Individualized Student Instruction (ISI)
           1254 | College-Ready Writers Program
           1255 | Strong Kids Social Emotional Learning (SEL)
           1256 | BEST Behavior approach to Positive Behavioral Interventions and Supports (PBIS)
           1257 | Combination of PBIS and SEL
           1259 | Transforming Teacher Talent (t3) professional development system
           1260 | We Are A Village
           1261 | Virginia Initiative for Science Teaching and Achievement (VISTA)
           1262 | Problem Based Learning (PBL)
           1263 | COMPASS
           1264 | Data-driven decision-making
           1265 | Achieving Student Success through Excellence in Teaching (ASSET)
           1267 | Bay Street Reading Initiative (BSRI)
           1268 | Achievement Network (ANet)
           1269 | WriteUp!
           1270 | SmartStart K-3 Plus program
           1271 | Science, Technology, Engineering, and Mathematics (STEM) Learning Opportunities Providing Equity (SLOPE)
           1272 | VEX robotics
           1273 | Ounce Professional Development Initiative
           1274 | Arts for Learning Lessons Project
           1275 | Florida Master Teacher Initiative
           1276 | Institute for Student Achievement (ISA)
           1277 | Early Childhood Consultation Partnership (ECCP)
           1278 | prohibiting Internet access
           1279 | Prentice Hall/Pearson Literature© (2007-15)
           1280 | Parent Engagement Project (PEP)
           1284 | Achieve3000®
           1287 | Leveled Literacy Intervention
           1289 | Harlem Children’s Zone (HCZ) Promise Academy Charter Schools
           1290 | Carolina Abecedarian Project (ABC) and the Carolina Approach to Responsive Education (CARE)
           1291 | Green Dot Public Schools
           1292 | Self-Regulated Strategy Development
           1298 | Teaching Strategies for Improving Algebra Knowledge in Middle and High School Students
           1301 | MyTeachingPartner™ Pre-K 
           1302 | ACT Aspire™
           1314 | Parent-Alert System
           1326 | I CAN Learn® Algebra
           1327 | I CAN Learn® Geometry
           1329 | IES Funded Studies 
           1330 | Passport to Literacy
           1331 | Verbal working memory (WM) training
           1332 | Comprehension Circuit Training (CCT)
           1334 | Retrieval-based learning activities
           1335 | Dual-language immersion programs
           1336 | Rich Vocabulary (RVOC)
           1339 | From Here to There!
           1341 | IES Funded Studies (NCER)
           1342 | The Student Success Coach
           1343 | Co-requisite remediation
           1344 | Self-transcendent purpose
           1345 | Faculty development programs
           1359 | Arts Achieve
           1360 | James Madison Legacy Project (JMLP)
           1361 | Blended learning
           1362 | Field trips
           1364 | Too Good for Drugs II (TGFD II)
           1365 | Child Development Project
           1366 | Positive Behavioral Interventions and Supports (PBIS)
           1367 | Physics Playground Activities
           1368 | Pyramid Model for Promoting Young Children's Social-Emotional Competence (Pyramid Model)
           1369 | Everyday Arts for Special Education (EASE) 
           1370 | Class-wide Function-related Intervention Teams (CW-FIT)
           1371 | Strategic Adolescent Reading Intervention
           1372 | Northeast Tennessee College and Career Ready Consortium 
           1373 | Science Teachers Learning through Lesson Analysis (STeLLA) Professional Development
           1374 | System of Least Prompts
           1375 | Ethnic studies curriculum
           1378 | Mainstreaming
           1379 | Florida Tax Credit (FTC) program
           1387 | Urban Advantage (UA)
           1388 | Cognitively Guided Instruction (CGI)
           1389 | Guidance counseling
           1391 | Utah Preparing Students Today for a Rewarding Tomorrow (UPSTART) Reading Program
           1393 | Math for All
           1394 | Teacher and Principal Performance Measures
           1395 | Pennsylvania Dyslexia Screening and Early Literacy Intervention
           1396 | Tutoring With Alphie (TWA)
           1397 | Read It Again (RIA)
           1398 | Kids in Transition to School
           1399 | Mission: Admission Challenge
           1400 | Excellence in Teaching Project (EITP)
           1401 | Tutoring with the Lightning Squad
           1402 | Alaska Statewide Mentor Project (ASMP) Urban Growth Opportunity (UGO) Program
           1404 | Dialect Awareness (DAWS)
           1405 | Let's Know
           1406 | Teacher Read-Alouds (TRA)
           1407 | Editing
           1409 | Reading Intervention for Adolescents (RIA)
           1410 | BLOOM
           1411 | Transitional Bilingual Education-Enhanced (TBE-E)
           1412 | Team-Based Learning (TBL)
           1414 | Reading comprehension plus working memory training ([WM]COMP)
           1415 | Reading comprehension (COMP)
           1416 | Developing Collaboration and Consultation Skills (DCCS)
           1417 | Learning to Breathe (L2B)
           1419 | Completing Homework by Improving Efficiency and Focus (CHIEF)
           1420 | Fusion Reading
           1421 | EVI (Extended Vocabulary Instruction)
           1422 | BEST in CLASS
           1423 | Advancing Social-Communication and Play (ASAP)
           1424 | Robust Academic Vocabulary Encounters (RAVE)
           1425 | Collaborative Life Skills (CLS)
           1426 | Open Learning Initiative (OLI)
           1448 | Passport Reading Journeys
           1449 | CUNY Start
           1450 | TARGETED, TUITION-FREE PROMISE
           1451 | Early Warning Intervention and Monitoring System
           1456 | Multiple measures placement using data analytics
           1457 | Wisconsin Scholars Grant (WSG)
           1458 | Stay the Course 
           1459 | Project Based Inquiry Science (PBIScience)
           1460 | Full Option Science System™ (FOSS)
           1465 | We the People
           1467 | Prevent-Teach-Reinforce for Young Children
           1469 | Enhanced Core Reading Instruction (ECRI)
           1476 | HEROES
           1481 | ABCmouse
           1489 | McREL Balanced Leadership
           1492 | Nudging intervention
           1493 | Detroit Promise Path
           1517 | Bottom Line
           1518 | V-SOURCE
                | 
(848 rows)

